Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957
Male Malays 0 - 4 Years,20610,20091,19848,19182,18624,17790,16992,16276,15869,15676,15748,16114,16496,16819,16985,17417,18043,18856,19602,20593,21372,21867,22252,22910,23557,24151,24517,25041,25331,25142,24761,24013,23172,22211,21303,20636,20168,19421,18425,17484,16391,15571,15029,15800,16000,16600,17300,17900,18000,18800,19500,20800,21742,24300,26300,27500,28000,27700,27400,26700,25900,25300,24400,23600,22700,21743
Male Malays 5 - 9 Years,17934,17027,16472,16108,15878,15933,16267,16575,16864,17088,17513,18163,19060,19867,20866,21636,22155,22490,23027,23592,24318,24655,25183,25441,25184,24737,23935,23010,22106,21168,20553,20075,19356,18329,17284,16125,15301,14692,14802,15149,15990,16776,17398,17800,18200,18800,19800,21500,23400,25200,26200,26900,25928,26500,25500,24700,23900,22900,22200,21600,21600,20500,19300,17700,15900,14451
Male Malays 10 - 14 Years,16013,16251,16655,16929,17117,17508,18121,19016,19789,20785,21549,22084,22522,23089,23694,24275,24646,25179,25407,25141,24714,23841,22826,21900,20965,20339,19908,19204,18313,17283,16094,15190,14393,14322,14642,15493,16266,16950,17093,17493,17967,18827,20032,22300,24200,25600,26700,27100,27200,26500,25900,24700,22926,21800,21200,20900,19900,18500,17200,15800,14900,14200,12800,11200,9900,8393
Male Malays 15 - 19 Years,17629,18200,19135,19957,20922,21672,22160,22504,23006,23602,24174,24543,25070,25315,25053,24632,23733,22764,21777,20800,20163,19700,18992,18121,17135,16004,15146,14379,14267,14498,15233,15875,16510,16633,17122,17651,18619,19862,21381,22927,23803,24474,24638,27700,27200,26700,25400,24400,22900,21800,20600,19300,17166,17000,15400,14400,13800,12300,10900,9900,8500,7300,7100,7200,7800,8528
Male Malays 20 - 24 Years,21756,22213,22587,23088,23682,24219,24538,25006,25206,24908,24461,23646,22657,21705,20711,19993,19546,18793,17795,16732,15870,14990,14266,14196,14483,15198,15803,16380,16433,16848,17361,18365,19686,21121,22617,23458,24027,24188,24328,23750,23212,22275,21256,23300,22200,20800,19400,18100,17000,15600,14900,14500,12127,10600,9600,8300,7000,6800,7000,7700,8800,10200,11000,11300,10900,10556
Male Malays 25 - 29 Years,24162,24371,24997,25200,24921,24437,23559,22571,21596,20621,19973,19574,18895,18020,16997,15855,14952,14249,14125,14365,15149,15702,16214,16249,16592,17054,17991,19252,20789,22339,23195,23757,23932,23876,23315,22781,21904,20947,19818,18963,17848,16720,15633,16900,15700,14800,14500,13300,11800,10900,9500,8100,7075,6800,7500,8400,9800,10500,10900,10800,10900,10700,10300,10000,9900,9552
Male Malays 30 - 34 Years,24464,23457,22569,21636,20661,19997,19575,18850,17966,17004,15921,15047,14339,14239,14462,15115,15672,16151,16147,16403,16900,17675,18802,20281,21796,22639,23255,23449,23575,23071,22577,21742,20859,19572,18727,17581,16435,15291,14317,13254,12583,12395,11400,11500,10600,9400,7800,7700,8000,8200,8400,8800,8578,10700,10500,10500,10300,9900,9700,9900,9800,10300,9800,9600,8700,8226
Male Malays 35 - 39 Years,19919,19338,18808,17940,16955,15830,14936,14181,14083,14338,15044,15622,16147,16092,16363,16726,17526,18630,19981,21406,22269,22808,22923,23029,22544,22058,21245,20408,19364,18547,17439,16290,15073,13934,12788,12079,11865,10881,9614,8817,7756,6367,6328,7600,7700,8000,8500,8600,8800,8400,8300,8000,7581,9500,9600,9500,9800,9500,9200,8600,8400,7900,8000,7500,7300,6917
Male Malays 40 - 44 Years,15616,14599,13994,13932,14169,14813,15354,15801,15803,16122,16509,17353,18495,19814,21154,21840,22329,22402,22640,22094,21669,20762,19858,18893,18108,17068,15972,14820,13811,12620,11847,11543,10467,9137,8393,7374,6053,6028,6415,6504,6800,7195,7407,8300,8000,8000,7700,7400,7400,7900,8100,8600,8539,8900,8400,8000,7600,7500,7100,7100,7000,6800,6100,5600,4900,4531
Male Malays 45 - 49 Years,14524,14873,15502,15500,15807,16143,16950,18047,19363,20747,21457,21931,22088,22127,21624,21124,20316,19452,18513,17668,16676,15574,14459,13510,12370,11610,11337,10309,9048,8246,7167,5830,5710,6052,6146,6431,6796,6977,7164,7052,7012,6862,6504,6900,7200,7400,7800,8000,8000,7700,7600,7200,6908,6800,6900,6600,6300,5800,5500,4800,4500,4000,4100,3700,3600,3449
